"","Participant","Condition","Roundnr","Subjective_performance","Self.efficacy","Fluency","corrected_tick","remaining_rocks","victim_harm","idle_ticks","Human_idle","Robot_idle","Time_score","success"
"248",4045,"C2",8,33,29,36.8,3000,19,400,1,2695,116,4900,"timeout"
"249",4046,"C2",1,0,0,0,3000,23,400,1,2772,50,5300,"timeout"
"250",4046,"C2",2,5,5,5,3000,29,0,2,2766,61,5900,"timeout"
"251",4046,"C2",3,40,10,43,3000,15,0,1,2726,50,4500,"timeout"
"252",4046,"C2",4,35,11,49,3000,19,0,1,2643,61,4900,"timeout"
"253",4046,"C2",5,74,15,78,3000,10,200,3,2622,61,4000,"timeout"
"254",4046,"C2",6,27,25,22.8,3000,17,100,1,2629,50,4700,"timeout"
"255",4046,"C2",7,87,12,78,3000,14,0,1,2626,61,4400,"timeout"
"256",4046,"C2",8,12,6,12.4,3000,23,300,1,2747,50,5300,"timeout"
"257",4047,"C2",1,0,0,10,3000,14,500,1,2750,50,4400,"timeout"
"258",4047,"C2",2,1,0,5,3000,14,1300,2,2658,61,4400,"timeout"
"259",4047,"C2",3,0,0,2.6,3000,12,700,1,2573,50,4200,"timeout"
"260",4047,"C2",4,0,5,4.6,3000,9,1000,6,2699,61,3900,"timeout"
"261",4047,"C2",5,0,0,1,3000,24,1000,3,2753,61,5400,"timeout"
"262",4047,"C2",6,0,0,1,2357,19,800,1,2138,45,4257,"fatal"
"263",4047,"C2",7,1,0,1.5,3000,13,800,1,2620,50,4300,"timeout"
"264",4047,"C2",8,10,0,10.4,1834,0,100,1,1517,50,1834,"win"
"265",4048,"C2",1,0,0,0,3000,14,700,1,2733,50,4400,"timeout"
"266",4048,"C2",2,50,50,45,3000,19,100,1,2712,61,4900,"timeout"
"267",4048,"C2",3,55,40,19,3000,8,100,1,2785,61,3800,"timeout"
"268",4048,"C2",4,0,30,9,3000,16,100,6,2696,50,4600,"timeout"
"269",4048,"C2",5,0,0,0,3000,27,1200,1,2945,1722,5700,"timeout"
"270",4048,"C2",6,0,0,0,3000,28,600,4,2874,61,5800,"timeout"
"271",4048,"C2",7,0,0,0,2753,9,400,2,2427,78,3653,"fatal"
"272",4048,"C2",8,0,10,2,1773,0,100,2,1521,44,1773,"win"
"273",4050,"C2",1,44,60,49.6,2554,0,100,1,2348,55,2554,"win"
"274",4050,"C2",2,34,48,38,2890,0,0,2,2647,61,2890,"win"
"275",4050,"C2",3,12,42,16.6,3000,8,600,3,2615,61,3800,"timeout"
"276",4050,"C2",4,16,29,17.6,3000,9,600,6,2625,61,3900,"timeout"
"277",4050,"C2",5,23,37,39.8,3000,13,100,1,2675,61,4300,"timeout"
